Level1,Level2,Level3,Event Participation
Arts and Humanities,ALTEC,Dev Awards,1
Arts and Humanities,ALTEC,Teaching with Technology Symposium,2
Arts and Humanities,Art and Art History,Advisory Board Committee Member,1
Arts and Humanities,Art and Art History,Camtasia Workshop,1
Arts and Humanities,Art and Art History,Dev Awards,13
Arts and Humanities,Asian Languages and Civilizations,Book Club ,1
Arts and Humanities,Asian Languages and Civilizations,Dev Awards,2
Arts and Humanities,Asian Languages and Civilizations,Digital Learning Community,2
Arts and Humanities,Asian Languages and Civilizations,Flipped Classroom Workshop,4
Arts and Humanities,Asian Languages and Civilizations,Hybrid and Online Course Design Seminar,1
Arts and Humanities,Asian Languages and Civilizations,Innovation Pit Stop,2
Arts and Humanities,Asian Languages and Civilizations,Summer Tech Camp,3
Arts and Humanities,Asian Languages and Civilizations,Teaching with Technology Seminar,3
Arts and Humanities,Asian Languages and Civilizations,Teaching with Technology Symposium,5
Arts and Humanities,Center for Asian Studies,Flipped Classroom Workshop,2
Arts and Humanities,Classics,Advisory Board Committee Member,6
Arts and Humanities,Classics,Dev Awards,2
Arts and Humanities,Classics,Flipped Classroom Workshop,2
Arts and Humanities,Classics,Teaching with Technology Seminar,1
Arts and Humanities,Classics,Teaching with Technology Symposium,2
Arts and Humanities,English,Advisory Board Committee Member,18
Arts and Humanities,English,Camtasia Workshop,2
Arts and Humanities,English,Course Design Summer Workshop,1
Arts and Humanities,English,Dev Awards,4
Arts and Humanities,English,Flipped Classroom Workshop,1
Arts and Humanities,English,Innovation Pit Stop,1
Arts and Humanities,English,Summer Tech Camp,1
Arts and Humanities,English,Teaching with Technology Seminar,4
Arts and Humanities,English,Teaching with Technology Symposium,3
Arts and Humanities,French and Italian,Course Design Summer Workshop,1
Arts and Humanities,French and Italian,Dev Awards,9
Arts and Humanities,French and Italian,Digital Learning Community,2
Arts and Humanities,French and Italian,Faculty Fellows,1
Arts and Humanities,French and Italian,Flipped Classroom Workshop,7
Arts and Humanities,French and Italian,Hybrid and Online Course Design Seminar,4
Arts and Humanities,French and Italian,Special Interest Group,1
Arts and Humanities,French and Italian,Summer Tech Camp,1
Arts and Humanities,French and Italian,Teaching with Technology Seminar,4
Arts and Humanities,French and Italian,Teaching with Technology Symposium,6
Arts and Humanities,Germanic and Slavic Languages and Literatures,Course Design Summer Workshop,1
Arts and Humanities,Germanic and Slavic Languages and Literatures,Dev Awards,1
Arts and Humanities,Germanic and Slavic Languages and Literatures,Digital Learning Community,6
Arts and Humanities,Germanic and Slavic Languages and Literatures,Flipped Classroom Workshop,1
Arts and Humanities,Germanic and Slavic Languages and Literatures,Hybrid and Online Course Design Seminar,2
Arts and Humanities,Germanic and Slavic Languages and Literatures,Innovation Pit Stop,1
Arts and Humanities,Germanic and Slavic Languages and Literatures,Summer Tech Camp,1
Arts and Humanities,Germanic and Slavic Languages and Literatures,Teaching with Technology Seminar,3
Arts and Humanities,Germanic and Slavic Languages and Literatures,Teaching with Technology Symposium,5
Arts and Humanities,History,Advisory Board Committee Member,1
Arts and Humanities,History,Book Club ,1
Arts and Humanities,History,Camtasia Workshop,2
Arts and Humanities,History,Dev Awards,2
Arts and Humanities,History,Digital Learning Community,3
Arts and Humanities,History,Faculty Fellows,1
Arts and Humanities,History,Flipped Classroom Workshop,3
Arts and Humanities,History,Hybrid and Online Course Design Seminar,2
Arts and Humanities,History,Innovation Pit Stop,4
Arts and Humanities,History,Special Interest Group,2
Arts and Humanities,History,Summer Tech Camp,1
Arts and Humanities,History,Teaching with Technology Seminar,5
Arts and Humanities,History,Teaching with Technology Symposium,8
Arts and Humanities,History,Tech Camp,1
Arts and Humanities,Humanities,Advisory Board Committee Member,2
Arts and Humanities,Humanities,Teaching with Technology Symposium,1
Arts and Humanities,Philosophy,Dev Awards,1
Arts and Humanities,Philosophy,Flipped Classroom Workshop,1
Arts and Humanities,Program for Writing and Rhetoric,Book Club ,1
Arts and Humanities,Program for Writing and Rhetoric,Camtasia Workshop,2
Arts and Humanities,Program for Writing and Rhetoric,Course Design Summer Workshop,1
Arts and Humanities,Program for Writing and Rhetoric,Dev Awards,1
Arts and Humanities,Program for Writing and Rhetoric,Digital Learning Community,1
Arts and Humanities,Program for Writing and Rhetoric,Faculty Fellows,1
Arts and Humanities,Program for Writing and Rhetoric,Flipped Classroom Workshop,1
Arts and Humanities,Program for Writing and Rhetoric,Hybrid and Online Course Design Seminar,2
Arts and Humanities,Program for Writing and Rhetoric,Special Interest Group,1
Arts and Humanities,Program for Writing and Rhetoric,Summer Tech Camp,3
Arts and Humanities,Program for Writing and Rhetoric,Teaching with Technology Seminar,5
Arts and Humanities,Program for Writing and Rhetoric,Teaching with Technology Symposium,4
Arts and Humanities,Religious Studies,Camtasia Workshop,1
Arts and Humanities,Religious Studies,Dev Awards,3
Arts and Humanities,Religious Studies,Flipped Classroom Workshop,1
Arts and Humanities,Religious Studies,Hybrid and Online Course Design Seminar,2
Arts and Humanities,Religious Studies,Teaching with Technology Seminar,1
Arts and Humanities,Religious Studies,Teaching with Technology Symposium,3
Arts and Humanities,Residential Academic Program,Digital Learning Community,2
Arts and Humanities,Residential Academic Program,Faculty Fellows,1
Arts and Humanities,Residential Academic Program,Special Interest Group,1
Arts and Humanities,Spanish and Portuguese,Book Club ,1
Arts and Humanities,Spanish and Portuguese,Camtasia Workshop,1
Arts and Humanities,Spanish and Portuguese,Course Design Summer Workshop,3
Arts and Humanities,Spanish and Portuguese,Digital Learning Community,1
Arts and Humanities,Spanish and Portuguese,Flipped Classroom Workshop,2
Arts and Humanities,Spanish and Portuguese,Hybrid and Online Course Design Seminar,2
Arts and Humanities,Spanish and Portuguese,Innovation Pit Stop,1
Arts and Humanities,Spanish and Portuguese,Summer Tech Camp,3
Arts and Humanities,Spanish and Portuguese,Teaching with Technology Seminar,1
Arts and Humanities,Spanish and Portuguese,Teaching with Technology Symposium,3
Arts and Humanities,Theatre and Dance,Advisory Board Committee Member,4
Arts and Humanities,Theatre and Dance,Camtasia Workshop,2
Arts and Humanities,Theatre and Dance,Dev Awards,7
Arts and Humanities,Theatre and Dance,Flipped Classroom Workshop,1
Arts and Humanities,Theatre and Dance,Hybrid and Online Course Design Seminar,3
Arts and Humanities,Theatre and Dance,Teaching with Technology Seminar,4
Arts and Humanities,Theatre and Dance,Teaching with Technology Symposium,3
Natural Sciences,Applied Mathematics,Advisory Board Committee Member,3
Natural Sciences,Applied Mathematics,Course Design Summer Workshop,1
Natural Sciences,Applied Mathematics,Dev Awards,5
Natural Sciences,Astrophysical and Planetary Sciences,Advisory Board Committee Member,5
Natural Sciences,Astrophysical and Planetary Sciences,DBER Session on VIP / Class Observation,2
Natural Sciences,Astrophysical and Planetary Sciences,Dev Awards,4
Natural Sciences,Astrophysical and Planetary Sciences,Digital Learning Community,1
Natural Sciences,Astrophysical and Planetary Sciences,Innovation Pit Stop,1
Natural Sciences,Astrophysical and Planetary Sciences,Special Interest Group,1
Natural Sciences,Astrophysical and Planetary Sciences,Teaching with Technology Seminar,1
Natural Sciences,Atmospheric and Oceanic Sciences,Camtasia Workshop,1
Natural Sciences,Atmospheric and Oceanic Sciences,Digital Learning Community,2
Natural Sciences,Atmospheric and Oceanic Sciences,Faculty Fellows,1
Natural Sciences,Atmospheric and Oceanic Sciences,Flipped Classroom Workshop,1
Natural Sciences,Atmospheric and Oceanic Sciences,Visualizing Instructional Practices Service,3
Natural Sciences,Biological Sciences Initiative,DBER Session on VIP / Class Observation,3
Natural Sciences,Chemistry and Biochemistry,Advisory Board Committee Member,5
Natural Sciences,Chemistry and Biochemistry,Camtasia Workshop,1
Natural Sciences,Chemistry and Biochemistry,Dev Awards,1
Natural Sciences,Chemistry and Biochemistry,Digital Learning Community,4
Natural Sciences,Chemistry and Biochemistry,Flipped Classroom Workshop,2
Natural Sciences,Chemistry and Biochemistry,Hybrid and Online Course Design Seminar,2
Natural Sciences,Chemistry and Biochemistry,Innovation Pit Stop,2
Natural Sciences,Chemistry and Biochemistry,Special Interest Group,1
Natural Sciences,Chemistry and Biochemistry,Summer Tech Camp,1
Natural Sciences,Chemistry and Biochemistry,Teaching with Technology Seminar,1
