Level1,Level2,Level3,Course Count
ARSC,Anthropology,2010: Intro to Bio Anthropology 1,1
ARSC,Anthropology,2020: Intro to Bio Anthropology 2,1
ARSC,Anthropology,"2070: Bones, Bodies and Disease",1
ARSC,Anthropology,2200: The Archaeology of Human Hist,1
ARSC,Anthropology,3000: Primate Behavior,1
ARSC,Anthropology,3170: America: Anth Perspective,1
ARSC,Anthropology,4020: Explorations in Anthropology,1
ARSC,Applied Math,1340: Calculus 1A with Algebra,1
ARSC,Applied Math,1345: Calculus 1B with Algebra,1
ARSC,Applied Math,1360: Calculus 2 for Engineers,1
ARSC,Astrophysical & Planetary Sci,1000: The Solar System,1
ARSC,Atmospheric & Oceanic Sciences,1050: Weather & the Atmosphere,1
ARSC,Atmospheric & Oceanic Sciences,1060: Our Changing Environment,1
ARSC,Atmospheric & Oceanic Sciences,3600: Principles of Climate,1
ARSC,Atmospheric & Oceanic Sciences,4550: Mountain Meteorology,1
ARSC,Classical Greek Language,1013: Beginning Classical Greek 1,1
ARSC,Classical Greek Language,1023: Begin Classical Greek 2,1
ARSC,Communication,3310: The Craft of Argument,1
ARSC,Communication,3320: Persuasion in Society,1
ARSC,Dance,1017: Dance in Pop Culture and Media,1
ARSC,Ecology & Evolutionary Biology,1030: Biology: A Human Approach 1,1
ARSC,Ecology & Evolutionary Biology,1040: Biology: A Human Approach 2,1
ARSC,Ecology & Evolutionary Biology,1210: General Biology 1,1
ARSC,Economics,2010: Prin of Microeconomics,1
ARSC,Economics,2020: Prin of Macroeconomics,1
ARSC,Economics,3403: Interntl Economics and Policy,1
ARSC,Economics,3818: Intro to Stat w/ Computer App,1
ARSC,Economics,4111: Money & Banking Systems,1
ARSC,English,1260: Intro Women's Literature,1
ARSC,English,1340: Mysticism & Jewish Amer Lit,1
ARSC,English,1500: Masterpieces-British Lit,1
ARSC,English,1600: Masterpieces-Amer Lit,1
ARSC,English,1800: Amer Ethnic Literatures,1
ARSC,English,2036: Intro to Media Stdy/Humanities,1
ARSC,English,2655: Introduction to American Lit I,1
ARSC,English,2665: Introduction to American Lit 2,1
ARSC,English,3000: Shakespeare/Nonmajors,1
ARSC,English,3060: Mod/Contemp Lit Nonmajors,1
ARSC,English,"3078: Lit in English, 1945-Present",1
ARSC,English,3081: Intermed Nonfctn Wrkshp,1
ARSC,English,3088: Major Authors/Post-1900 Lit,1
ARSC,English,3116: Topics in Adv Theory,1
